x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
8.20;263.20;p;3.34;0.56;104.93;0.00;3.10;263.33
7.40;260.20;y;0.14;0.00;104.93;45.00;0.00;260.31
7.40;260.20;p;2.55;0.01;149.93;0.00;2.20;260.31
5.50;259.10;y;0.09;0.00;149.93;-14.93;0.00;259.16
5.50;259.10;p;0.68;0.21;135.00;0.00;0.57;259.16
5.10;258.70;y;0.28;0.06;135.00;104.62;0.00;258.75
5.10;258.70;p;7.60;0.28;-120.38;0.00;6.72;258.75
1.70;264.50;y;0.20;0.07;-120.38;57.50;0.00;264.51
1.70;264.50;p;10.40;0.29;-62.88;0.00;9.21;264.51
5.90;272.70;y;0.18;0.08;-62.88;57.68;0.00;272.76
5.90;272.70;p;1.21;0.14;-5.19;0.00;1.10;272.76
7.00;272.80;y;0.33;0.03;-5.19;-125.99;0.00;272.89
7.00;272.80;p;2.36;0.61;-131.19;0.00;2.13;272.89
5.60;274.40;y;0.13;0.10;-131.19;24.93;0.00;274.46
5.60;274.40;p;5.34;0.53;-106.26;0.00;5.00;274.46
4.20;279.20;y;0.28;0.01;-106.26;-100.30;0.00;279.23
4.20;279.20;p;0.60;0.04;153.43;0.00;0.45;279.23
3.80;279.00;y;0.13;0.00;153.43;26.57;0.00;279.03
3.80;279.00;p;3.30;0.62;180.00;0.00;3.00;279.03
0.80;279.00;y;0.36;0.30;180.00;108.43;0.00;279.00
0.80;279.00;p;2.41;0.22;-71.57;0.00;2.21;279.00
1.50;281.10;y;0.07;0.00;-71.57;-12.72;0.00;281.10
1.50;281.10;p;2.12;0.13;-84.29;0.00;2.01;281.10
1.70;283.10;y;0.09;0.01;-84.29;-15.17;0.00;283.11
1.70;283.10;p;0.72;0.13;-99.46;0.00;0.61;283.11
1.60;283.70;y;0.22;0.03;-99.46;65.77;0.00;283.70
1.60;283.70;p;0.50;0.03;-33.69;0.00;0.36;283.70
1.90;283.90;y;0.13;0.01;-33.69;-33.69;0.00;283.91
1.90;283.90;p;1.45;0.74;-67.38;0.00;1.30;283.91
2.40;285.10;y;0.09;0.01;-67.38;-22.62;0.00;285.11
2.40;285.10;p;2.53;1.13;-90.00;0.00;2.20;285.11
2.40;287.30;y;0.31;0.26;-90.00;-116.57;0.00;287.31
2.40;287.30;p;2.80;0.08;153.43;0.00;2.46;287.31
0.20;286.20;y;0.41;0.00;153.43;147.14;0.00;286.20
0.20;286.20;p;2.80;0.02;-59.42;0.00;2.56;286.20
1.50;288.40;y;0.14;0.06;-59.42;-44.62;0.00;288.40
1.50;288.40;p;0.98;0.21;-104.04;0.00;0.82;288.40
1.30;289.20;y;0.37;0.06;-104.04;139.57;0.00;289.20
1.30;289.20;p;1.05;0.10;35.54;0.00;0.86;289.20
2.00;288.70;y;0.32;0.11;35.54;-102.34;0.00;288.71
2.00;288.70;p;6.42;0.62;-66.80;0.00;6.09;288.71
4.40;294.30;y;0.23;0.16;-66.80;77.01;0.00;294.33
4.40;294.30;p;5.19;0.81;10.20;0.00;5.08;294.33
9.40;293.40;y;0.16;0.08;10.20;41.64;0.00;293.55
9.40;293.40;p;1.98;1.33;51.84;0.00;1.78;293.55
10.50;292.00;y;0.10;0.04;51.84;29.18;0.00;292.19
10.50;292.00;p;2.03;0.81;81.03;0.00;1.92;292.19
10.80;290.10;y;0.44;0.02;81.03;-143.27;0.00;290.30
10.80;290.10;p;2.50;0.36;-62.24;0.00;2.15;290.30
11.80;292.00;y;0.31;0.12;-62.24;113.36;0.00;292.24
11.80;292.00;p;4.31;0.21;51.12;0.00;3.98;292.24
14.30;288.90;y;0.31;0.05;51.12;-96.12;0.00;289.25
14.30;288.90;p;1.43;0.69;-45.00;0.00;1.27;289.25
15.20;289.80;y;0.22;0.18;-45.00;-75.70;0.00;290.20
15.20;289.80;p;4.26;0.60;-120.70;0.00;3.72;290.20
13.30;293.00;y;0.19;0.03;-120.70;44.74;0.00;293.30
13.30;293.00;p;1.42;0.12;-75.96;0.00;1.24;293.30
13.60;294.20;y;0.11;0.02;-75.96;-39.05;0.00;294.51
13.60;294.20;p;1.95;0.83;-115.02;0.00;1.66;294.51
12.90;295.70;y;0.31;0.26;-115.02;-116.69;0.00;295.98
12.90;295.70;p;2.65;0.79;128.29;0.00;2.42;295.98
11.40;293.80;y;0.41;0.24;128.29;131.40;0.00;294.02
11.40;293.80;p;1.22;0.20;-100.30;0.00;1.12;294.02
11.20;294.90;y;0.18;0.05;-100.30;-61.26;0.00;295.11
11.20;294.90;p;0.76;0.13;-161.57;0.00;0.63;295.11
10.60;295.10;y;0.31;0.00;-161.57;91.22;0.00;295.29
10.60;295.10;p;1.65;0.40;-70.35;0.00;1.49;295.29
11.10;296.50;y;0.21;0.17;-70.35;-66.94;0.00;296.71
11.10;296.50;p;1.96;0.21;-137.29;0.00;1.77;296.71
9.80;297.70;y;0.38;0.01;-137.29;135.01;0.00;297.86
9.80;297.70;p;9.52;0.01;-2.28;0.00;8.94;297.86
18.73;298.06;p;9.90;0.00;-2.28;0.00;8.94;298.64
27.67;298.41;p;9.99;0.00;-2.28;0.00;8.94;299.69
36.60;298.77;p;9.98;0.00;-2.28;0.00;8.94;301.00
45.53;299.12;p;9.90;0.00;-2.28;0.00;8.94;302.57
54.47;299.48;p;9.98;0.00;-2.28;0.00;8.94;304.39
63.40;299.83;p;9.96;0.00;-2.28;0.00;8.94;306.46
72.33;300.19;p;9.90;0.00;-2.28;0.00;8.94;308.78
81.27;300.54;p;9.52;0.05;-2.28;0.00;8.94;311.34
90.20;300.90;y;0.33;0.05;-2.28;-118.68;0.00;314.13
90.20;300.90;p;1.40;0.42;-120.96;0.00;1.17;314.13
89.60;301.90;y;0.44;0.10;-120.96;156.50;0.00;314.92
89.60;301.90;p;1.05;0.07;35.54;0.00;0.86;314.92
90.30;301.40;y;0.21;0.00;35.54;-56.58;0.00;314.64
90.30;301.40;p;8.80;0.49;-21.04;0.00;8.36;314.64
98.10;304.40;y;0.22;0.14;-21.04;-69.45;0.00;319.82
98.10;304.40;p;8.35;0.23;-90.49;0.00;7.83;319.82
98.03;312.23;p;8.70;0.00;-90.49;0.00;7.83;327.26
97.97;320.07;p;8.35;0.07;-90.49;0.00;7.83;334.72
97.90;327.90;y;0.09;0.02;-90.49;17.19;0.00;342.20
97.90;327.90;p;1.19;0.10;-73.30;0.00;1.04;342.20
98.20;328.90;y;0.14;0.04;-73.30;-50.39;0.00;343.25
98.20;328.90;p;0.50;0.08;-123.69;0.00;0.36;343.25
98.00;329.20;y;0.10;0.00;-123.69;-19.44;0.00;343.48
98.00;329.20;p;0.68;0.20;-143.13;0.00;0.50;343.48
97.60;329.50;y;0.29;0.07;-143.13;90.00;0.00;343.65
97.60;329.50;p;0.72;0.08;-53.13;0.00;0.50;343.65
97.90;329.90;y;0.21;0.00;-53.13;73.69;0.00;344.12
97.90;329.90;p;0.99;0.25;20.56;0.00;0.85;344.12
98.70;329.60;y;0.35;0.14;20.56;-120.02;0.00;344.06
98.70;329.60;p;1.34;0.34;-99.46;0.00;1.22;344.06
98.50;330.80;y;0.07;0.00;-99.46;-11.58;0.00;345.15
98.50;330.80;p;1.55;0.65;-111.04;0.00;1.39;345.15
98.00;332.10;y;0.12;0.01;-111.04;21.04;0.00;346.26
98.00;332.10;p;1.21;0.39;-90.00;0.00;1.00;346.26
98.00;333.10;y;0.32;0.04;-90.00;-126.47;0.00;347.22
98.00;333.10;p;9.55;0.33;143.53;0.00;8.58;347.22
91.10;328.00;y;0.05;0.00;143.53;3.36;0.00;340.42
91.10;328.00;p;3.15;0.84;146.89;0.00;2.75;340.42
88.80;326.50;y;0.09;0.07;146.89;-16.29;0.00;338.36
88.80;326.50;p;2.04;0.72;130.60;0.00;1.84;338.36
87.60;325.10;y;0.37;0.12;130.60;-121.14;0.00;336.70
87.60;325.10;p;1.32;0.54;9.46;0.00;1.22;336.70
88.80;324.90;y;0.21;0.12;9.46;69.23;0.00;336.82
88.80;324.90;p;1.63;0.61;78.69;0.00;1.53;336.82
89.10;323.40;y;0.07;0.00;78.69;8.30;0.00;335.45
89.10;323.40;p;3.92;0.49;86.99;0.00;3.81;335.45
89.30;319.60;y;0.07;0.06;86.99;18.89;0.00;331.84
89.30;319.60;p;6.69;0.11;105.88;0.00;6.03;331.84
87.65;313.80;p;6.69;0.01;105.88;0.00;6.03;325.81
86.00;308.00;y;0.09;0.00;105.88;-15.88;0.00;319.78
86.00;308.00;p;0.82;0.19;90.00;0.00;0.70;319.78
86.00;307.30;y;0.27;0.09;90.00;94.76;0.00;319.11
86.00;307.30;p;1.31;0.63;-175.24;0.00;1.20;319.11
84.80;307.40;y;0.09;0.00;-175.24;3.69;0.00;318.88
84.80;307.40;p;7.61;0.46;-171.54;0.00;7.48;318.88
77.40;308.50;y;0.13;0.01;-171.54;-30.26;0.00;318.06
77.40;308.50;p;0.66;0.07;158.20;0.00;0.54;318.06
76.90;308.30;y;0.33;0.00;158.20;100.49;0.00;317.75
76.90;308.30;p;0.61;0.07;-101.31;0.00;0.51;317.75
76.80;308.80;y;0.22;0.01;-101.31;-78.69;0.00;318.21
76.80;308.80;p;1.00;0.46;-180.00;0.00;0.80;318.21
76.00;308.80;y;0.13;0.11;-180.00;-38.05;0.00;318.01
76.00;308.80;p;3.18;1.08;141.95;0.00;2.92;318.01
73.70;307.00;y;0.13;0.08;141.95;-30.15;0.00;315.72
73.70;307.00;p;1.78;0.83;111.80;0.00;1.62;315.72
73.10;305.50;y;0.21;0.04;111.80;68.20;0.00;314.12
73.10;305.50;p;0.44;0.11;180.00;0.00;0.30;314.12
72.80;305.50;y;0.18;0.04;180.00;45.00;0.00;314.05
72.80;305.50;p;0.98;0.48;-135.00;0.00;0.85;314.05
72.20;306.10;y;0.11;0.03;-135.00;-26.57;0.00;314.50
72.20;306.10;p;0.43;0.27;-161.57;0.00;0.32;314.50
71.90;306.20;y;0.28;0.03;-161.57;81.03;0.00;314.53
71.90;306.20;p;0.71;0.05;-80.54;0.00;0.61;314.53
72.00;306.80;y;0.16;0.00;-80.54;38.90;0.00;315.14
72.00;306.80;p;5.68;0.24;-41.63;0.00;5.42;315.14
76.05;310.40;p;5.64;0.22;-41.63;0.00;5.42;319.58
80.10;314.00;y;0.13;0.07;-41.63;-23.59;0.00;324.06
80.10;314.00;p;1.70;0.58;-65.22;0.00;1.43;324.06
80.70;315.30;y;0.11;0.08;-65.22;-40.30;0.00;325.46
80.70;315.30;p;2.06;0.45;-105.52;0.00;1.87;325.46
80.20;317.10;y;0.09;0.00;-105.52;15.52;0.00;327.08
80.20;317.10;p;1.43;0.32;-90.00;0.00;1.10;327.08
80.20;318.20;y;0.24;0.09;-90.00;-92.56;0.00;328.15
80.20;318.20;p;6.83;0.13;177.44;0.00;6.71;328.15
73.50;317.90;y;0.25;0.02;177.44;76.54;0.00;326.29
73.50;317.90;p;10.32;0.01;-106.03;0.00;9.78;326.29
70.80;327.30;y;0.14;0.00;-106.03;-43.01;0.00;334.87
70.80;327.30;p;0.75;0.18;-149.04;0.00;0.58;334.87
70.30;327.60;y;0.09;0.01;-149.04;28.46;0.00;335.06
70.30;327.60;p;5.82;0.53;-120.58;0.00;5.11;335.06
67.70;332.00;y;0.19;0.09;-120.58;37.70;0.00;338.83
67.70;332.00;p;0.92;0.35;-82.87;0.00;0.81;338.83
67.80;332.80;y;0.25;0.07;-82.87;-88.99;0.00;339.64
67.80;332.80;p;0.81;0.10;-171.87;0.00;0.71;339.64
67.10;332.90;y;0.21;0.01;-171.87;63.81;0.00;339.60
67.10;332.90;p;5.16;0.05;-108.06;0.00;4.84;339.60
65.60;337.50;y;0.16;0.02;-108.06;-47.98;0.00;343.82
65.60;337.50;p;1.20;0.30;-156.04;0.00;0.98;343.82
64.70;337.90;y;0.37;0.11;-156.04;115.37;0.00;344.04
64.70;337.90;p;10.03;0.70;-40.67;0.00;9.36;344.04
71.80;344.00;y;0.15;0.12;-40.67;-38.02;0.00;351.41
71.80;344.00;p;5.71;0.52;-78.69;0.00;5.61;351.41
72.90;349.50;p;5.71;0.24;-78.69;0.00;5.61;357.02
74.00;355.00;y;0.23;0.08;-78.69;75.11;0.00;362.63
74.00;355.00;p;1.71;0.69;-3.58;0.00;1.60;362.63
75.60;355.10;y;0.10;0.01;-3.58;-11.17;0.00;363.06
75.60;355.10;p;2.15;0.69;-14.74;0.00;1.96;363.06
77.50;355.60;y;0.25;0.12;-14.74;88.35;0.00;363.95
77.50;355.60;p;3.80;0.64;73.61;0.00;3.54;363.95
78.50;352.20;y;0.05;0.05;73.61;10.27;0.00;360.84
78.50;352.20;p;8.62;0.47;83.88;0.00;8.45;360.84
79.40;343.80;y;0.16;0.00;83.88;-46.19;0.00;352.85
79.40;343.80;p;3.03;0.11;37.69;0.00;2.78;352.85
81.60;342.10;y;0.21;0.04;37.69;70.37;0.00;351.70
81.60;342.10;p;5.15;0.66;108.06;0.00;4.84;351.70
80.10;337.50;y;0.09;0.06;108.06;-6.75;0.00;346.87
80.10;337.50;p;0.61;0.36;101.31;0.00;0.51;346.87
80.00;337.00;y;0.17;0.00;101.31;-37.87;0.00;346.37
80.00;337.00;p;1.66;0.19;63.43;0.00;1.34;346.37
80.60;335.80;y;0.05;0.04;63.43;7.68;0.00;345.34
80.60;335.80;p;4.30;0.26;71.11;0.00;4.02;345.34
81.90;332.00;y;0.19;0.01;71.11;-50.08;0.00;341.95
81.90;332.00;p;1.55;0.24;21.04;0.00;1.39;341.95
83.20;331.50;y;0.32;0.13;21.04;117.33;0.00;341.78
83.20;331.50;p;1.36;0.53;138.37;0.00;1.20;341.78
82.30;330.70;y;0.13;0.02;138.37;-29.93;0.00;340.79
82.30;330.70;p;1.42;0.64;108.43;0.00;1.26;340.79
81.90;329.50;y;0.32;0.14;108.43;111.37;0.00;339.53
81.90;329.50;p;0.91;0.17;-140.19;0.00;0.78;339.53
81.30;330.00;y;0.29;0.10;-140.19;-106.61;0.00;339.87
81.30;330.00;p;0.89;0.14;113.20;0.00;0.76;339.87
81.00;329.30;y;0.20;0.02;113.20;54.27;0.00;339.12
81.00;329.30;p;1.06;0.62;167.47;0.00;0.92;339.12
80.10;329.10;y;0.19;0.16;167.47;-59.04;0.00;338.71
80.10;329.10;p;1.75;1.13;108.43;0.00;1.58;338.71
79.60;327.60;y;0.09;0.06;108.43;18.43;0.00;337.13
79.60;327.60;p;1.19;0.87;126.87;0.00;1.00;337.13
79.00;326.80;y;0.29;0.00;126.87;109.44;0.00;336.21
79.00;326.80;p;0.50;0.04;-123.69;0.00;0.36;336.21
78.80;327.10;y;0.27;0.04;-123.69;-101.31;0.00;336.46
78.80;327.10;p;0.38;0.03;135.00;0.00;0.28;336.46
78.60;326.90;y;0.13;0.00;135.00;-26.57;0.00;336.22
78.60;326.90;p;1.09;0.12;108.43;0.00;0.95;336.22
78.30;326.00;y;0.42;0.02;108.43;-130.24;0.00;335.27
78.30;326.00;p;0.66;0.00;-21.80;0.00;0.54;335.27
78.80;326.20;y;0.11;0.00;-21.80;-16.86;0.00;335.58
78.80;326.20;p;0.76;0.00;-38.66;0.00;0.64;335.58
79.30;326.60;y;0.10;0.00;-38.66;-13.77;0.00;336.09
79.30;326.60;p;1.82;0.24;-52.43;0.00;1.64;336.09
80.30;327.90;y;0.09;0.02;-52.43;-19.13;0.00;337.59
80.30;327.90;p;0.76;0.02;-71.57;0.00;0.63;337.59
80.50;328.50;y;0.21;0.02;-71.57;75.38;0.00;338.22
80.50;328.50;p;1.61;0.16;3.81;0.00;1.50;338.22
82.00;328.40;y;0.07;0.00;3.81;5.65;0.00;338.48
82.00;328.40;p;1.93;0.29;9.46;0.00;1.82;338.48
83.80;328.10;y;0.23;0.03;9.46;-61.81;0.00;338.63
83.80;328.10;p;4.77;0.16;-52.35;0.00;4.42;338.63
86.50;331.60;y;0.05;0.00;-52.35;-3.96;0.00;342.70
86.50;331.60;p;0.50;0.10;-56.31;0.00;0.36;342.70
86.70;331.90;y;0.16;0.02;-56.31;-57.65;0.00;343.04
86.70;331.90;p;4.50;0.08;-113.96;0.00;3.94;343.04
85.10;335.50;y;0.35;0.05;-113.96;125.00;0.00;346.12
85.10;335.50;p;4.28;0.26;11.04;0.00;4.18;346.12
89.20;334.70;y;0.17;0.05;11.04;-39.18;0.00;346.38
89.20;334.70;p;11.00;0.32;-28.14;0.00;9.75;346.38
97.80;339.30;y;0.30;0.11;-28.14;-106.86;0.00;353.11
97.80;339.30;p;7.73;0.08;-135.00;0.00;7.21;353.11
92.70;344.40;y;0.21;0.01;-135.00;59.04;0.00;356.66
92.70;344.40;p;0.54;0.03;-75.96;0.00;0.41;356.66
92.80;344.80;y;0.05;0.00;-75.96;-1.04;0.00;357.07
92.80;344.80;p;4.27;0.55;-77.01;0.00;4.00;357.07
93.70;348.70;y;0.06;0.00;-77.01;2.18;0.00;361.07
93.70;348.70;p;6.48;0.78;-74.83;0.00;6.11;361.07
95.30;354.60;y;0.25;0.17;-74.83;-97.58;0.00;367.18
95.30;354.60;p;3.14;0.39;-172.41;0.00;3.03;367.18
92.30;355.00;y;0.15;0.05;-172.41;-38.56;0.00;366.80
92.30;355.00;p;1.40;0.80;149.04;0.00;1.17;366.80
91.30;354.40;y;0.26;0.22;149.04;-86.93;0.00;365.97
91.30;354.40;p;2.25;0.82;62.10;0.00;1.92;365.97
92.20;352.70;y;0.21;0.16;62.10;78.42;0.00;364.55
92.20;352.70;p;2.42;0.45;140.53;0.00;2.20;364.55
90.50;351.30;y;0.33;0.06;140.53;106.43;0.00;362.77
90.50;351.30;p;9.91;0.57;-113.04;0.00;9.45;362.77
86.80;360.00;y;0.15;0.10;-113.04;37.81;0.00;370.32
86.80;360.00;p;6.32;0.45;-75.23;0.00;5.69;370.32
88.25;365.50;p;6.31;0.14;-75.23;0.00;5.69;376.00
89.70;371.00;y;0.07;0.04;-75.23;-14.77;0.00;381.69
89.70;371.00;p;1.17;0.29;-90.00;0.00;0.90;381.69
89.70;371.90;y;0.15;0.01;-90.00;33.23;0.00;382.56
89.70;371.90;p;3.95;1.13;-56.77;0.00;3.47;382.56
91.60;374.80;y;0.19;0.13;-56.77;72.55;0.00;385.83
91.60;374.80;p;5.09;1.04;15.78;0.00;4.78;385.83
96.20;373.50;y;0.28;0.13;15.78;-94.29;0.00;385.69
96.20;373.50;p;9.74;0.10;-78.51;0.00;9.54;385.69
98.10;382.85;p;9.73;0.14;-78.51;0.00;9.54;395.22
100.00;392.20;y;0.22;0.10;-78.51;-83.96;0.00;404.75
100.00;392.20;p;2.18;0.09;-162.47;0.00;1.99;404.75
98.10;392.80;y;0.26;0.01;-162.47;-89.09;0.00;404.86
98.10;392.80;p;4.72;0.37;108.43;0.00;4.43;404.86
96.70;388.60;y;0.12;0.04;108.43;40.60;0.00;400.45
96.70;388.60;p;0.75;0.53;149.04;0.00;0.58;400.45
96.20;388.30;y;0.06;0.00;149.04;-6.15;0.00;400.04
96.20;388.30;p;5.00;1.16;142.88;0.00;4.64;400.04
92.50;385.50;y;0.25;0.18;142.88;72.65;0.00;396.44
92.50;385.50;p;1.05;0.42;-144.46;0.00;0.86;396.44
91.80;386.00;y;0.28;0.01;-144.46;-102.82;0.00;396.77
91.80;386.00;p;4.94;0.12;112.71;0.00;4.66;396.77
90.00;381.70;y;0.26;0.01;112.71;74.41;0.00;392.17
90.00;381.70;p;0.91;0.20;-172.87;0.00;0.81;392.17
89.20;381.80;y;0.16;0.01;-172.87;49.18;0.00;392.08
89.20;381.80;p;1.30;0.24;-123.69;0.00;1.08;392.08
88.60;382.70;y;0.15;0.02;-123.69;33.69;0.00;392.82
88.60;382.70;p;5.89;0.19;-90.00;0.00;5.30;392.82
88.60;388.00;y;0.09;0.03;-90.00;-23.96;0.00;397.99
88.60;388.00;p;3.40;0.18;-113.96;0.00;2.95;397.99
87.40;390.70;y;0.31;0.06;-113.96;-113.08;0.00;400.36
87.40;390.70;p;4.29;0.10;132.95;0.00;3.96;400.36
84.70;387.80;y;0.19;0.02;132.95;-59.65;0.00;396.94
84.70;387.80;p;1.20;0.11;73.30;0.00;1.04;396.94
85.00;386.80;y;0.16;0.00;73.30;-39.61;0.00;396.03
85.00;386.80;p;3.30;0.29;33.69;0.00;2.88;396.03
87.40;385.20;y;0.15;0.08;33.69;43.18;0.00;394.99
87.40;385.20;p;3.32;0.27;76.87;0.00;3.08;394.99
88.10;382.20;y;0.06;0.00;76.87;-2.81;0.00;392.22
88.10;382.20;p;0.86;0.12;74.05;0.00;0.73;392.22
88.30;381.50;y;0.15;0.00;74.05;-29.05;0.00;391.59
88.30;381.50;p;1.28;0.43;45.00;0.00;1.13;391.59
89.10;380.70;y;0.01;0.00;45.00;0.00;0.00;390.99
89.10;380.70;p;0.68;0.37;45.00;0.00;0.57;390.99
89.50;380.30;y;0.15;0.02;45.00;45.00;0.00;390.69
89.50;380.30;p;2.54;0.05;90.00;0.00;2.20;390.69
89.50;378.10;y;0.07;0.00;90.00;10.30;0.00;388.55
89.50;378.10;p;1.22;0.05;100.30;0.00;1.12;388.55
89.30;377.00;y;0.09;0.00;100.30;-12.91;0.00;387.43
89.30;377.00;p;2.32;0.13;87.40;0.00;2.20;387.43
89.40;374.80;y;0.40;0.00;87.40;143.94;0.00;385.31
89.40;374.80;p;0.76;0.00;-128.66;0.00;0.64;385.31
89.00;375.30;y;0.17;0.00;-128.66;-51.34;0.00;385.71
89.00;375.30;p;0.99;0.05;-180.00;0.00;0.80;385.71
88.20;375.30;y;0.14;0.01;-180.00;-43.26;0.00;385.52
88.20;375.30;p;2.56;0.21;136.74;0.00;2.33;385.52
86.50;373.70;y;0.08;0.00;136.74;-14.83;0.00;383.58
86.50;373.70;p;7.05;0.76;121.91;0.00;6.24;383.58
83.20;368.40;y;0.17;0.13;121.91;48.01;0.00;377.68
83.20;368.40;p;4.68;0.37;169.92;0.00;4.57;377.68
78.70;367.60;y;0.09;0.00;169.92;10.08;0.00;375.93
78.70;367.60;p;0.66;0.03;180.00;0.00;0.50;375.93
78.20;367.60;y;0.32;0.00;180.00;95.71;0.00;375.83
78.20;367.60;p;2.12;0.02;-84.29;0.00;2.01;375.83
78.40;369.60;y;0.01;0.00;-84.29;0.30;0.00;377.82
78.40;369.60;p;2.02;0.44;-83.99;0.00;1.91;377.82
78.60;371.50;y;0.19;0.17;-83.99;-54.82;0.00;379.72
78.60;371.50;p;1.21;0.31;-138.81;0.00;1.06;379.72
77.80;372.20;y;0.35;0.05;-138.81;-127.61;0.00;380.24
77.80;372.20;p;1.72;0.20;93.58;0.00;1.60;380.24
77.70;370.60;y;0.17;0.05;93.58;51.83;0.00;378.66
77.70;370.60;p;4.00;0.14;145.41;0.00;3.52;378.66
74.80;368.60;y;0.26;0.02;145.41;-73.84;0.00;376.11
74.80;368.60;p;2.41;0.19;71.57;0.00;2.21;376.11
75.50;366.50;y;0.19;0.04;71.57;63.43;0.00;374.20
75.50;366.50;p;2.48;0.58;135.00;0.00;2.26;374.20
73.90;364.90;y;0.31;0.20;135.00;97.13;0.00;372.31
73.90;364.90;p;1.29;0.27;-127.87;0.00;1.14;372.31
73.20;365.80;y;0.28;0.05;-127.87;82.87;0.00;373.05
73.20;365.80;p;0.83;0.18;-45.00;0.00;0.71;373.05
73.70;366.30;y;0.19;0.05;-45.00;-64.98;0.00;373.64
73.70;366.30;p;1.32;0.19;-109.98;0.00;1.17;373.64
73.30;367.40;y;0.29;0.05;-109.98;-111.20;0.00;374.64
73.30;367.40;p;1.21;0.12;138.81;0.00;1.06;374.64
72.50;366.70;y;0.29;0.02;138.81;94.32;0.00;373.80
72.50;366.70;p;0.67;0.01;-126.87;0.00;0.50;373.80
72.20;367.10;y;0.17;0.00;-126.87;-48.73;0.00;374.13
72.20;367.10;p;2.72;0.10;-175.60;0.00;2.61;374.13
69.60;367.30;y;0.27;0.02;-175.60;77.47;0.00;373.84
69.60;367.30;p;5.78;0.08;-98.13;0.00;5.66;373.84
68.80;372.90;y;0.10;0.03;-98.13;-22.83;0.00;379.19
68.80;372.90;p;0.75;0.06;-120.96;0.00;0.58;379.19
68.50;373.40;y;0.19;0.01;-120.96;45.82;0.00;379.63
68.50;373.40;p;5.39;0.01;-75.14;0.00;5.07;379.63
69.80;378.30;p;5.39;0.75;-75.14;0.00;5.07;384.69
71.10;383.20;y;0.09;0.07;-75.14;-27.39;0.00;389.74
71.10;383.20;p;2.02;0.69;-102.53;0.00;1.84;389.74
70.70;385.00;y;0.21;0.02;-102.53;-66.16;0.00;391.44
70.70;385.00;p;0.61;0.10;-168.69;0.00;0.51;391.44
70.20;385.10;y;0.25;0.00;-168.69;80.30;0.00;391.45
70.20;385.10;p;7.22;0.27;-88.39;0.00;7.10;391.45
70.40;392.20;y;0.26;0.08;-88.39;85.28;0.00;398.47
70.40;392.20;p;9.35;0.19;-3.11;0.00;9.21;398.47
79.60;392.70;y;0.38;0.03;-3.11;-143.20;0.00;400.69
79.60;392.70;p;8.50;0.04;-146.31;0.00;7.57;400.69
73.30;396.90;y;0.23;0.01;-146.31;-90.00;0.00;403.61
73.30;396.90;p;1.30;0.26;123.69;0.00;1.08;403.61
72.70;396.00;y;0.37;0.02;123.69;122.35;0.00;402.62
72.70;396.00;p;1.20;0.28;-113.96;0.00;0.98;402.62
72.30;396.90;y;0.24;0.22;-113.96;-83.22;0.00;403.43
72.30;396.90;p;5.31;0.13;162.81;0.00;5.08;403.43
67.45;395.40;p;5.34;0.21;162.81;0.00;5.08;401.11
62.60;393.90;y;0.23;0.04;162.81;-72.81;0.00;398.84
62.60;393.90;p;2.31;0.33;90.00;0.00;2.00;398.84
62.60;391.90;y;0.07;0.02;90.00;14.68;0.00;396.87
62.60;391.90;p;9.16;0.83;104.68;0.00;8.68;396.87
60.40;383.50;y;0.10;0.01;104.68;20.54;0.00;388.23
60.40;383.50;p;4.70;1.59;125.22;0.00;4.16;388.23
58.00;380.10;y;0.14;0.14;125.22;30.55;0.00;384.50
58.00;380.10;p;2.55;1.98;155.77;0.00;2.19;384.50
56.00;379.20;y;0.18;0.15;155.77;49.69;0.00;383.31
56.00;379.20;p;2.70;1.11;-154.54;0.00;2.33;383.31
53.90;380.20;y;0.21;0.07;-154.54;50.50;0.00;384.00
53.90;380.20;p;1.42;0.53;-104.04;0.00;1.24;384.00
53.60;381.40;y;0.19;0.11;-104.04;45.00;0.00;385.15
53.60;381.40;p;2.05;0.48;-59.04;0.00;1.75;385.15
54.50;382.90;y;0.27;0.10;-59.04;104.04;0.00;386.76
54.50;382.90;p;0.23;0.04;45.00;0.00;0.14;386.76
54.60;382.80;y;0.18;0.00;45.00;-48.81;0.00;386.67
54.60;382.80;p;1.61;0.06;-3.81;0.00;1.50;386.67
56.10;382.90;y;0.24;0.02;-3.81;-79.85;0.00;386.99
56.10;382.90;p;2.83;0.25;-83.66;0.00;2.72;386.99
56.40;385.60;y;0.14;0.07;-83.66;-36.60;0.00;389.70
56.40;385.60;p;1.66;0.20;-120.26;0.00;1.39;389.70
55.70;386.80;y;0.17;0.01;-120.26;37.64;0.00;390.79
55.70;386.80;p;5.57;0.04;-82.61;0.00;5.45;390.79
56.40;392.20;y;0.19;0.02;-82.61;-67.64;0.00;396.23
56.40;392.20;p;1.00;0.31;-150.26;0.00;0.81;396.23
55.70;392.60;y;0.31;0.15;-150.26;-113.57;0.00;396.53
55.70;392.60;p;3.84;0.13;96.17;0.00;3.72;396.53
55.30;388.90;y;0.07;0.00;96.17;16.08;0.00;392.81
55.30;388.90;p;7.51;0.23;112.25;0.00;7.13;392.81
52.60;382.30;y;0.05;0.00;112.25;7.50;0.00;385.90
52.60;382.30;p;1.00;0.41;119.74;0.00;0.81;385.90
