x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
8.60;1.70;y;0.25;0.09;90.00;81.07;0.00;8.77
8.60;1.70;p;7.21;0.19;171.07;0.00;7.09;8.77
1.60;0.60;y;0.46;0.04;171.07;150.39;0.00;1.71
1.60;0.60;p;8.09;0.14;-38.54;0.00;7.54;1.71
7.50;5.30;y;0.17;0.03;-38.54;-53.90;0.00;9.18
7.50;5.30;p;4.82;0.54;-92.44;0.00;4.70;9.18
7.30;10.00;y;0.12;0.08;-92.44;-37.01;0.00;12.38
7.30;10.00;p;5.55;0.28;-129.45;0.00;5.12;12.38
4.05;13.95;p;5.57;0.17;-129.45;0.00;5.12;14.53
0.80;17.90;y;0.13;0.04;-129.45;28.14;0.00;17.92
0.80;17.90;p;0.61;0.09;-101.31;0.00;0.51;17.92
0.70;18.40;y;0.19;0.00;-101.31;40.96;0.00;18.41
0.70;18.40;p;8.45;0.23;-60.35;0.00;7.48;18.41
4.40;24.90;y;0.28;0.19;-60.35;-114.21;0.00;25.29
4.40;24.90;p;2.22;0.79;-174.56;0.00;2.11;25.29
2.30;25.10;y;0.23;0.18;-174.56;62.76;0.00;25.21
2.30;25.10;p;5.14;0.48;-111.80;0.00;4.85;25.21
0.50;29.60;y;0.19;0.00;-111.80;48.37;0.00;29.60
0.50;29.60;p;0.88;0.23;-63.43;0.00;0.67;29.60
0.80;30.20;y;0.23;0.10;-63.43;83.99;0.00;30.21
0.80;30.20;p;0.99;0.21;20.56;0.00;0.85;30.21
1.60;29.90;y;0.33;0.00;20.56;-110.56;0.00;29.94
1.60;29.90;p;0.22;0.00;-90.00;0.00;0.20;29.94
1.60;30.10;y;0.16;0.00;-90.00;36.70;0.00;30.14
1.60;30.10;p;7.65;0.01;-53.30;0.00;6.86;30.14
5.70;35.60;p;7.65;0.23;-53.30;0.00;6.86;36.05
9.80;41.10;y;0.07;0.00;-53.30;8.30;0.00;42.25
9.80;41.10;p;0.53;0.26;-45.00;0.00;0.42;42.25
10.10;41.40;y;0.07;0.00;-45.00;1.25;0.00;42.61
10.10;41.40;p;6.99;0.08;-43.75;0.00;6.51;42.61
14.80;45.90;y;0.10;0.01;-43.75;-3.97;0.00;48.23
14.80;45.90;p;1.66;0.56;-47.73;0.00;1.49;48.23
15.80;47.00;y;0.40;0.03;-47.73;159.53;0.00;49.58
15.80;47.00;p;0.66;0.01;111.80;0.00;0.54;49.58
15.60;46.50;y;0.09;0.00;111.80;-12.83;0.00;49.05
15.60;46.50;p;2.03;0.74;98.97;0.00;1.92;49.05
15.30;44.60;y;0.12;0.10;98.97;-21.78;0.00;47.15
15.30;44.60;p;2.46;0.96;77.20;0.00;2.26;47.15
15.80;42.40;y;0.36;0.23;77.20;-117.43;0.00;45.25
15.80;42.40;p;1.89;0.32;-40.24;0.00;1.70;45.25
17.10;43.50;y;0.10;0.02;-40.24;-7.25;0.00;46.74
17.10;43.50;p;1.81;0.60;-47.49;0.00;1.63;46.74
18.20;44.70;y;0.40;0.25;-47.49;160.69;0.00;48.26
18.20;44.70;p;0.89;0.01;113.20;0.00;0.76;48.26
17.90;44.00;y;0.09;0.00;113.20;-8.46;0.00;47.50
17.90;44.00;p;2.15;0.33;104.74;0.00;1.96;47.50
17.40;42.10;y;0.07;0.01;104.74;11.82;0.00;45.55
17.40;42.10;p;0.88;0.17;116.57;0.00;0.67;45.55
17.10;41.50;y;0.31;0.00;116.57;-101.31;0.00;44.88
17.10;41.50;p;1.29;0.54;15.26;0.00;1.14;44.88
18.20;41.20;y;0.16;0.13;15.26;-38.45;0.00;45.04
18.20;41.20;p;1.68;0.65;-23.20;0.00;1.52;45.04
19.60;41.80;y;0.34;0.21;-23.20;133.36;0.00;46.17
19.60;41.80;p;8.87;0.37;110.16;0.00;8.42;46.17
16.70;33.90;y;0.22;0.06;110.16;-56.88;0.00;37.79
16.70;33.90;p;8.75;0.40;53.28;0.00;7.86;37.79
21.40;27.60;y;0.20;0.11;53.28;73.59;0.00;34.92
21.40;27.60;p;1.21;0.12;126.87;0.00;1.00;34.92
